T,ActionApplied,Q_star,TotalSpent
0,voucher,121.44798413471295,124.5989930479493
0,freeship,585.0300401546426,438.20542106395936
0,combo,-0.526408924030318,-83.44099311994329
0,flashsale,411.4763925817408,395.0692561508702
0,loyalty,-86.22393666071578,-290.29098473052153
1,voucher,124.8728789517537,238.03139935141076
1,freeship,585.3135970845473,754.172921618688
1,combo,-0.10226882747008237,147.2556262852304
1,flashsale,412.66988167527694,713.83229725108
1,loyalty,-83.9775536155701,-22.359511701099656
2,voucher,125.59082428869085,276.0649492599552
2,freeship,583.0260001741219,722.7597100515598
2,combo,-0.7153437360704614,-169.38298996612966
2,flashsale,414.906612201034,420.8116445637312
2,loyalty,-81.27069736224547,-131.5880654836821
3,voucher,127.67798376281802,-11.034166208092884
3,freeship,584.3664466157688,385.1531966508786
3,combo,-2.2791041761346427,59.33924759598418
3,flashsale,417.0538177456463,424.64406568976983
3,loyalty,-79.06071732720635,-289.7544292252079
4,voucher,127.03436498899858,210.18924265935067
4,freeship,582.9885409688472,581.2542620150622
4,combo,-4.091401678353472,-55.39607879955771
4,flashsale,414.40205764685356,325.45939914966164
4,loyalty,-79.20629668656869,47.54268108750804
5,voucher,128.51891870016132,165.89881393827596
5,freeship,585.4055008105645,146.47168544561418
5,combo,-4.376941203035944,-286.5494424259302
5,flashsale,415.54444915291265,606.7874895091581
5,loyalty,-77.30209516974263,45.71515871060012
6,voucher,127.57380166178594,145.4044896242998
6,freeship,582.0771001550652,788.22854118447
6,combo,-7.368490978608616,-219.09368424389075
6,flashsale,415.6614837663608,319.58549265501085
6,loyalty,-76.3061415642982,-33.56138767715337
7,voucher,128.64305966857768,175.4738511286147
7,freeship,584.0494224418958,452.9769306352825
7,combo,-7.083310378127941,-128.97943132208152
7,flashsale,414.44526051115986,729.4704490385657
7,loyalty,-76.34691297903905,71.77320567567591
8,voucher,128.12658717552588,252.0770305204041
8,freeship,581.6070620296671,636.1896869638342
8,combo,-6.121442220056881,-150.67841212234532
8,flashsale,413.67287845059735,118.43878433136058
8,loyalty,-78.65116045840752,-60.92770917567029
9,voucher,130.00896450101487,-51.09747821602784
9,freeship,582.3756056779067,379.92354368936867
9,combo,-9.70297640723882,-198.94922158630132
9,flashsale,414.47715604145253,318.2499665935687
9,loyalty,-81.1506125949907,-115.7334472137638
10,voucher,129.42237436335975,169.33194192788795
10,freeship,582.6722675763411,615.4784826710455
10,combo,-8.742855287890254,-166.70228157614474
10,flashsale,414.2571266986078,521.2095645383936
