T,ActionApplied,Q_star,TotalSpent
0,voucher,220.19813397472763,190.41170542387536
0,freeship,261.2276763933732,390.1087920505537
0,combo,786.5626958200512,882.6155783107238
0,flashsale,586.0745395555282,557.0383107280787
0,loyalty,348.6554630727654,395.0860711549419
1,voucher,220.19813397472763,220.20659806234775
1,freeship,261.2276763933732,324.4577226464634
1,combo,786.5626958200512,764.0264658664051
1,flashsale,586.0745395555282,472.1724220293978
1,loyalty,348.6554630727654,314.0644175315345
2,voucher,220.19813397472763,256.65395127544105
2,freeship,261.2276763933732,244.67662702977555
2,combo,786.5626958200512,998.1485869469647
2,flashsale,586.0745395555282,611.5742068861381
2,loyalty,348.6554630727654,376.8736011598652
3,voucher,220.19813397472763,161.40682995449941
3,freeship,261.2276763933732,310.68930033694835
3,combo,786.5626958200512,618.6244492472206
3,flashsale,586.0745395555282,666.7013338132597
3,loyalty,348.6554630727654,491.0177499255818
4,voucher,220.19813397472763,111.63974259429843
4,freeship,261.2276763933732,391.35457425220545
4,combo,786.5626958200512,636.3814140481073
4,flashsale,586.0745395555282,506.2390199259097
4,loyalty,348.6554630727654,376.2650004257113
5,voucher,220.19813397472763,209.76443885151298
5,freeship,261.2276763933732,465.7649885185663
5,combo,786.5626958200512,950.3579432611361
5,flashsale,586.0745395555282,595.9007823993603
5,loyalty,348.6554630727654,235.4353060158631
6,voucher,220.19813397472763,195.53839434873592
6,freeship,261.2276763933732,322.374185331374
6,combo,786.5626958200512,811.1805942175483
6,flashsale,586.0745395555282,681.6437379700967
6,loyalty,348.6554630727654,381.1650042853172
7,voucher,220.19813397472763,182.363779921001
7,freeship,261.2276763933732,189.58944526973733
7,combo,786.5626958200512,620.2968788073953
7,flashsale,586.0745395555282,752.9366023104984
7,loyalty,348.6554630727654,261.0552422319876
8,voucher,220.19813397472763,160.7783168478381
8,freeship,261.2276763933732,370.29638553759037
8,combo,786.5626958200512,863.0519164197848
8,flashsale,586.0745395555282,664.0606732971407
8,loyalty,348.6554630727654,580.5542189750339
9,voucher,220.19813397472763,150.46326513881053
9,freeship,261.2276763933732,211.7386447335171
9,combo,786.5626958200512,785.4944025461111
9,flashsale,586.0745395555282,397.15338210794425
9,loyalty,348.6554630727654,468.5118744602231
10,voucher,220.19813397472763,240.3709706989169
10,freeship,261.2276763933732,105.76798098320629
10,combo,786.5626958200512,820.3880294680017
10,flashsale,586.0745395555282,554.4141665425104
10,loyalty,348.6554630727654,249.59213915592204
11,voucher,220.19813397472763,18.092546005426044
11,freeship,261.2276763933732,280.61287243584906
11,combo,786.5626958200512,893.3179036674798
11,flashsale,586.0745395555282,587.7995354985574
11,loyalty,348.6554630727654,449.3982018418805
12,voucher,220.19813397472763,221.79365700945814
12,freeship,261.2276763933732,221.63866785910554
12,combo,786.5626958200512,846.6400277056077
12,flashsale,586.0745395555282,734.7781510043753
12,loyalty,348.6554630727654,364.66955040679585
13,voucher,220.19813397472763,48.715139350454564
13,freeship,261.2276763933732,343.38100216898596
13,combo,786.5626958200512,783.1109263354659
13,flashsale,586.0745395555282,532.7065466664868
13,loyalty,348.6554630727654,349.3475324863865
14,voucher,220.19813397472763,143.82760979239572
14,freeship,261.2276763933732,234.18383170215697
14,combo,786.5626958200512,916.5377369163932
14,flashsale,586.0745395555282,654.9476865019883
14,loyalty,348.6554630727654,177.58075600253608
15,voucher,220.19813397472763,371.5334723486153
15,freeship,261.2276763933732,297.67250113731063
15,combo,786.5626958200512,894.7082082580448
15,flashsale,586.0745395555282,563.7879457607377
15,loyalty,348.6554630727654,399.00269998198195
16,voucher,220.19813397472763,359.4428012368801
16,freeship,261.2276763933732,96.23907744934323
16,combo,786.5626958200512,649.4912623336986
16,flashsale,586.0745395555282,736.6788237489089
16,loyalty,348.6554630727654,367.19026806195126
17,voucher,220.19813397472763,227.17728429130648
17,freeship,261.2276763933732,315.2158107308443
17,combo,786.5626958200512,804.6102287651178
17,flashsale,586.0745395555282,401.58931365231683
17,loyalty,348.6554630727654,322.7331856417789
18,voucher,220.19813397472763,228.72565569328623
18,freeship,261.2276763933732,403.10489088446695
18,combo,786.5626958200512,838.7087669952639
18,flashsale,586.0745395555282,688.9702446413379
18,loyalty,348.6554630727654,248.71744387751272
19,voucher,220.19813397472763,85.72768014462207
19,freeship,261.2276763933732,429.65983400016125
19,combo,786.5626958200512,922.5939158692879
19,flashsale,586.0745395555282,726.518835101196
19,loyalty,348.6554630727654,545.804756671902
